FID_	URAU_NAME	AREA	MEAN 2014	MEAN 2015	MEAN 2016	MEAN 2017	MEAN 2018	MEAN 2019	MEAN 2020	MEAN 2021	MEAN 2022	MEAN 2023	MEAN 2024
0	Vienna	0.05012152858	16.04261646190	15.56408505150	16.24706034730	16.97753874680	16.96493885040	17.79755850370	16.32234201560	18.04552508550	16.52435010480	17.05184071980	16.58092535010
1	Budapest	0.06263888989	19.53494072290	19.28809418210	21.27445909390	22.46826624300	22.52725269980	23.80702433130	20.11249526860	23.79273435790	22.23099979300	23.08629922830	22.38155480220
2	Sofia	0.14730903014	5.61898812330	5.66228265952	6.05617679411	7.08625300770	6.68406529497	6.59568598882	6.68656899815	7.62410893908	6.95449045345	7.21045540873	7.72467377490
3	Paris	0.26736111539	31.47862276190	33.39795593310	31.89181682620	31.23046306150	32.17044016040	31.10439523820	29.16672598440	30.69477073670	29.56358655250	24.73508262680	21.71509311950
4	Brussels	0.02069444478	47.23701646780	45.59059122760	48.25604817340	45.63207444510	47.23290405960	46.38595223750	43.72955716800	45.98366260330	43.67017892920	40.38085673300	36.73994616370
5	Prague	0.06217013988	18.19535685000	17.95804678390	20.01591786070	20.93244660070	19.08563088800	20.49004348160	19.15538036410	22.92404906500	19.45650800710	19.15137078070	18.21221424480
6	Berlin	0.11821180745	14.13419723710	13.65570606490	13.94813962730	13.92985676810	13.91714646280	13.89873996790	13.91374167030	14.42099937020	13.80387708790	13.43275085170	13.20269425380
7	Riga	0.04498263961	15.76259106850	16.05755086980	21.03616319250	17.92480327990	22.12592088860	21.62068796770	15.30607240300	27.02908418700	20.12316650310	16.17065992980	17.22195709440
8	Athens	0.06289930656	38.34782408300	38.07283611890	38.53185908730	40.51446157300	40.36755817010	42.16975633190	42.73592590020	42.98102105980	44.26328156940	44.81380679080	46.15587125450
9	Warsaw	0.06809027887	31.47355139840	29.42952076710	29.82203907900	30.33742677170	31.94231225440	31.96343545990	27.58218428130	39.75636115630	30.44514498060	27.98262352190	26.40496115960
10	Lisbon	0.06583333439	40.26438073350	40.48131947470	41.37782250930	40.39364566020	39.62150532770	39.00221352740	36.45050921310	36.14702255540	35.52872372150	37.01640656830	36.27872379430
11	Bucharest	0.02711805599	35.61738485360	36.70984314530	35.92857116150	38.78973473680	37.24889827110	37.78095378720	37.11096068530	39.59892073330	39.18475363680	38.31123900670	37.69097103430
12	Madrid	0.13060764098	39.42980785250	34.21436058460	31.90244163020	32.91472416630	32.46794670970	32.88561207950	31.23281559940	39.01371779220	33.20938328340	33.23155961670	33.63160288520
13	Rome	0.13946180779	22.79970222860	22.78560602190	22.21135812250	19.66817774420	17.87085153300	17.80193979710	17.85093580630	18.28708968470	18.11932986830	18.44969751640	18.97511438840
14	Dublin	0.12520833534	14.72601923540	14.73525044170	14.23118784360	13.55555966720	13.62034235060	12.85666822180	12.40400007730	13.03883264920	13.39011960070	13.94681435760	13.81608462270
15	Copenhagen	0.06527777882	12.85968629010	13.39085013990	12.48499280030	12.13489294640	13.48539868240	13.17783484280	13.58945798730	14.37821587510	15.15155400030	15.16802272880	15.48378753620
16	Tallinn	0.02520833374	25.92578929570	27.52887297060	34.66158623690	22.61951813180	32.31290297980	36.74961234510	29.12510637740	38.32758437470	40.91370499680	29.96548601570	28.14537158620
17	Zagreb	0.07423611230	17.59683092170	16.27700397990	16.76749544630	16.99906703580	16.31697259400	16.54515060770	14.69857650380	15.69659204610	14.70003466520	15.06400575800	14.97145583500
18	Vilnius	0.05581597312	11.12188118670	7.93041604656	11.37060301320	11.70080880050	13.13647201430	11.80534085680	8.30138458992	16.22289880860	10.31067265500	9.26060496706	9.01662857351
19	Luxembourg	0.00661458344	24.95519016450	25.02633636960	24.40742524030	24.20237318240	26.61386425380	25.37716587070	24.07097087760	26.82748612080	26.07736491720	23.65658621270	20.32581793200
20	Valletta	0.00500000008	38.03766111280	37.73011864560	37.28397112750	38.93788168170	38.56016921170	39.54869630770	39.96648023610	40.28990213410	40.46194769520	41.93554569450	44.37515612610
21	Amsterdam	0.04005208397	22.95380301000	22.57837132570	21.92360211780	20.96641918190	20.89952869690	20.58598369150	20.19437257480	21.23709828350	20.06748219220	20.41955455840	19.46915599370
22	Stockholm	0.22993055923	9.77199377534	13.19841169210	15.44604009850	14.32359400730	14.52161888580	15.97838026980	10.76989724150	15.75001482160	15.74423891850	14.14083903980	14.09636747130
23	Ljubljana	0.03208333385	6.90693906429	6.54139823059	6.77932443679	7.13293560680	7.57861848729	6.52891157676	6.28885989085	7.22927345639	6.82604754271	6.69373254207	6.60639347636
24	Bratislava	0.04447916738	15.70681335560	14.15066096980	13.52884236290	14.88984087360	13.97715732100	14.93574397240	13.14930914720	14.48163716720	13.07431418320	13.19347853850	13.44745364920
25	Nicosia	0.00746527790	30.32200938820	29.87698444210	30.92553552580	30.87015781510	33.33799106800	31.51590522610	28.59164737100	28.70314996190	26.99813215900	27.63768364220	27.54649470350
26	Helsinki	0.08583333471	30.47171862260	29.11712400830	34.81411587450	35.71581606350	33.26197837240	40.56203813080	22.44494405260	34.09523347990	52.33906691410	39.53009668330	36.36020646210
